926
int,int,int,int,int,float,float,float
5,0,1,9,0,0.000,0.000,0.000
0,5,1,9,3,0.204,-0.335,-0.352
0,5,1,9,53,0.000,0.000,0.097
0,0,1,10,0,0.000,0.000,0.300
5,0,1,10,0,0.000,0.000,0.000
0,0,1,10,3,0.000,0.000,1.000
0,1,1,10,3,-0.884,0.578,0.818
0,1,1,10,6,0.000,-0.379,0.565
0,1,1,10,28,0.750,-0.404,0.369
0,3,1,10,3,3.219,-2.699,1.875
0,3,1,10,28,0.207,0.461,0.324
0,5,1,10,1,0.000,0.000,0.706
0,5,1,10,3,-2.334,1.517,-0.065
0,5,1,10,6,0.000,0.688,0.665
0,5,1,10,28,-0.982,-0.207,0.166
0,0,1,15,0,0.000,0.000,0.400
5,0,1,15,0,0.000,0.000,0.336
0,1,1,15,1,-1.047,0.170,0.398
0,1,1,15,15,-1.438,0.263,0.501
0,1,1,15,71,-0.376,-0.133,0.288
0,5,1,15,1,1.143,-0.231,0.447
0,5,1,15,15,1.555,-0.323,0.456
0,5,1,15,37,0.000,0.000,0.459
0,5,1,15,71,0.229,0.203,0.440
0,0,1,17,0,0.000,0.000,0.350
5,0,1,17,0,0.000,0.000,0.000
0,5,1,17,1,0.000,0.000,0.536
0,5,1,17,7,0.000,0.000,0.212
0,0,1,18,0,0.000,0.000,0.100
5,0,1,18,0,0.000,0.000,0.112
0,5,1,18,1,0.000,0.000,0.000
0,5,1,18,6,0.000,0.000,0.099
0,5,1,18,32,0.000,0.585,0.388
0,5,1,18,43,0.000,-0.412,0.121
0,5,1,18,48,0.000,0.000,0.195
0,5,1,18,62,0.000,0.000,-0.088
0,0,1,19,0,0.000,0.000,0.150
5,0,1,19,0,0.000,0.000,0.179
0,5,1,19,5,0.000,0.000,0.196
0,5,1,19,6,0.000,0.000,0.176
0,5,1,19,12,0.000,0.000,0.152
0,0,1,20,0,0.000,0.000,0.350
5,0,1,20,0,0.000,0.000,0.350
0,5,1,20,5,0.000,0.000,0.344
0,5,1,20,20,0.000,0.000,0.361
0,0,1,22,0,0.000,0.000,0.236
5,0,1,22,0,0.000,0.000,0.236
0,0,1,25,0,0.000,0.000,0.300
5,0,1,25,0,0.000,0.000,0.251
0,1,1,25,1,0.000,-0.207,0.232
0,1,1,25,32,0.000,0.288,0.218
0,5,1,25,1,0.000,0.152,0.235
0,5,1,25,6,0.000,0.000,0.495
0,5,1,25,32,0.000,-0.130,0.214
0,5,1,25,43,0.000,0.000,0.466
0,5,1,25,72,0.000,0.000,0.243
0,0,1,26,0,0.000,0.000,0.450
5,0,1,26,0,0.000,0.000,0.376
0,5,1,26,12,0.000,0.000,0.439
0,5,1,26,71,0.000,0.000,0.472
0,0,1,34,0,0.000,0.000,0.250
5,0,1,34,0,0.000,0.000,0.198
0,1,1,34,36,0.000,0.000,0.187
0,5,1,34,1,0.000,0.000,0.247
0,5,1,34,36,0.000,0.000,0.259
0,0,1,37,0,0.000,0.000,0.200
5,0,1,37,0,0.000,0.000,0.000
0,1,1,37,37,0.000,0.449,0.000
0,5,1,37,37,0.000,-0.420,0.391
0,6,1,37,37,0.000,0.000,0.150
0,0,1,39,0,0.000,0.000,0.000
5,0,1,39,0,0.000,0.000,0.000
0,1,1,39,63,0.000,-0.080,-0.056
0,5,1,39,63,0.000,0.000,-0.113
0,0,1,40,0,0.000,0.000,0.250
5,0,1,40,0,0.000,0.000,0.297
0,5,1,40,28,0.000,-0.105,0.000
0,5,1,40,37,0.000,0.000,0.468
0,0,1,41,0,0.000,0.600,0.000
0,1,1,41,32,0.000,1.263,0.000
0,5,1,41,32,0.000,0.000,-0.106
0,5,1,41,72,0.000,0.632,0.000
0,0,1,43,0,0.000,0.000,0.150
5,0,1,43,0,0.000,0.000,0.297
0,5,1,43,18,0.357,-0.918,0.000
0,5,1,43,25,0.000,0.000,0.061
0,5,1,43,28,-0.249,0.382,0.343
0,0,1,45,0,0.000,0.000,0.100
0,5,1,45,32,0.000,0.000,0.125
0,0,1,46,0,0.000,0.000,-0.500
0,5,1,46,7,0.000,0.000,-0.540
0,0,1,54,0,0.000,0.000,0.000
2,0,1,54,0,0.000,0.000,0.000
5,0,1,54,0,0.000,0.000,0.000
0,5,1,54,3,0.000,0.000,-0.315
0,5,1,54,36,0.000,0.000,0.315
0,0,1,55,0,0.000,0.000,0.000
5,0,1,55,0,0.000,0.000,0.000
0,5,1,55,36,0.000,-0.058,0.084
0,5,1,55,57,0.000,-0.058,-0.092
0,0,1,56,0,0.000,0.000,-0.300
0,1,1,56,36,0.875,0.668,-0.015
0,1,1,56,57,-0.870,0.775,-0.406
0,5,1,56,36,-0.958,-0.629,-0.372
0,5,1,56,57,0.952,-0.715,-0.483
0,0,1,57,0,0.000,0.000,0.000
5,0,1,57,0,0.000,0.000,0.000
0,0,1,58,0,0.000,0.000,0.000
0,0,1,62,0,0.000,0.000,0.250
0,5,1,62,18,0.000,0.000,0.270
0,0,1,63,0,0.000,0.000,0.000
5,0,1,63,0,0.000,0.000,0.000
0,0,1,64,0,0.000,0.000,0.000
5,0,1,64,0,0.000,0.000,0.000
0,0,1,67,0,0.000,0.000,0.000
5,0,1,67,0,0.000,0.000,0.000
0,0,1,68,0,0.000,0.000,0.400
0,1,1,68,1,-0.117,0.090,0.751
0,1,1,68,23,0.373,0.153,0.635
0,1,1,68,32,-0.090,-0.169,0.075
0,5,1,68,1,0.134,-0.112,0.329
0,5,1,68,23,-0.361,-0.202,0.560
0,5,1,68,32,0.072,0.218,0.093
0,0,1,73,0,0.000,0.000,0.500
0,5,1,73,32,0.000,0.000,0.509
0,5,1,73,72,0.000,0.000,0.443
0,0,1,75,0,0.000,0.000,0.000
0,0,1,78,0,0.000,0.000,0.000
0,0,1,80,0,0.000,0.000,0.000
0,0,1,81,0,0.000,0.000,0.000
0,0,2,2,0,0.000,12.000,0.000
1,0,2,2,0,0.000,1.800,0.000
5,0,2,2,0,0.000,12.000,0.000
0,1,2,2,1,-0.403,12.000,0.000
0,1,2,2,2,0.000,12.000,0.000
1,1,2,2,2,-0.418,2.089,-0.310
0,1,2,2,5,0.000,12.000,0.000
1,1,2,2,5,0.412,2.120,0.269
1,2,2,2,2,0.094,1.621,0.877
0,2,2,2,5,0.000,12.000,0.000
1,2,2,2,5,0.317,1.421,-0.870
0,3,2,2,5,0.000,12.000,0.000
0,5,2,2,5,0.000,12.000,0.000
1,5,2,2,5,-0.406,1.767,0.000
0,5,2,2,6,0.000,12.000,0.000
0,5,2,2,37,0.000,12.000,0.000
0,5,2,2,40,0.000,12.000,0.000
0,5,2,2,41,0.000,12.000,0.000
0,5,2,2,45,0.000,12.000,0.000
0,5,2,2,62,0.000,12.000,0.000
1,0,2,3,0,0.000,2.500,0.000
1,1,2,3,1,0.136,1.798,0.630
1,1,2,3,5,0.497,2.405,0.357
1,1,2,3,6,-0.211,1.925,-0.131
1,1,2,3,7,-0.401,2.028,-0.318
1,1,2,3,10,0.000,2.237,-0.610
1,2,2,3,1,-0.325,1.553,-0.487
1,2,2,3,5,-0.295,2.024,-0.590
1,2,2,3,6,-0.143,1.466,0.000
1,2,2,3,7,0.362,1.978,0.000
1,2,2,3,9,0.296,1.514,0.481
1,2,2,3,10,0.000,1.599,0.380
1,5,2,3,1,0.213,1.728,-0.042
1,5,2,3,5,-0.208,1.622,0.223
1,5,2,3,6,0.359,1.539,0.194
1,5,2,3,7,0.000,2.046,0.000
1,5,2,3,9,-0.290,1.519,-0.470
1,5,2,3,10,0.000,1.409,0.254
1,0,2,4,0,0.000,0.000,0.000
0,0,2,6,0,0.000,3.100,0.000
2,0,2,6,0,0.000,3.600,0.000
5,0,2,6,0,0.000,3.600,0.000
0,2,2,6,1,-1.953,3.953,-1.055
0,2,2,6,3,-1.712,2.596,-0.330
0,2,2,6,29,-0.215,2.810,-0.456
0,5,2,6,1,1.951,3.936,1.130
0,5,2,6,3,1.719,2.628,0.360
0,5,2,6,29,0.216,2.808,0.456
1,0,2,9,0,0.000,1.800,0.000
0,0,2,10,0,0.000,6.000,0.000
2,0,2,10,0,0.000,6.000,0.000
5,0,2,10,0,0.000,6.000,0.000
0,0,2,15,0,0.000,1.423,0.000
2,0,2,15,0,0.000,1.423,0.000
5,0,2,15,0,0.000,1.423,0.000
0,0,2,17,0,0.000,1.423,0.000
0,0,2,18,0,0.000,0.000,0.000
2,0,2,18,0,0.000,0.000,0.000
5,0,2,18,0,0.000,0.000,0.000
0,0,2,19,0,0.000,0.000,0.000
0,0,2,20,0,0.000,0.000,0.000
2,0,2,20,0,0.000,0.000,0.000
0,0,2,22,0,0.000,0.000,0.000
2,0,2,22,0,0.000,0.000,0.000
5,0,2,22,0,0.000,0.000,0.000
0,0,2,25,0,0.000,0.000,0.000
0,0,2,30,0,0.000,12.000,0.000
0,0,2,34,0,0.000,0.000,0.000
2,0,2,34,0,0.000,0.000,0.000
1,0,2,37,0,0.000,2.000,0.000
1,1,2,37,37,0.000,2.952,-0.079
1,2,2,37,37,0.000,1.542,0.434
1,5,2,37,37,0.000,1.308,-0.357
1,0,2,39,0,0.000,6.000,0.000
0,0,2,40,0,0.000,3.700,0.000
2,0,2,40,0,0.000,3.600,0.000
5,0,2,40,0,0.000,3.600,0.000
0,2,2,40,28,0.000,3.305,-0.530
0,5,2,40,28,0.139,3.241,0.139
0,0,2,41,0,0.000,1.200,0.000
2,0,2,41,0,0.000,1.800,0.000
0,2,2,41,32,0.000,1.235,0.000
0,5,2,41,32,0.000,1.231,0.000
0,0,2,43,0,0.000,3.600,0.000
2,0,2,43,0,0.000,3.600,0.000
0,0,2,45,0,0.000,2.200,0.000
2,0,2,45,0,0.000,1.800,0.000
0,2,2,45,32,0.000,2.212,0.000
0,5,2,45,32,0.000,2.225,0.000
0,0,2,46,0,0.000,1.800,0.000
2,0,2,46,0,0.000,1.800,0.000
0,0,2,55,0,0.000,4.800,0.000
0,0,2,56,0,0.000,4.800,0.000
0,0,2,62,0,0.000,8.000,0.000
0,2,2,62,23,1.693,7.903,0.532
0,5,2,62,23,-1.696,7.897,-0.482
1,0,2,63,0,0.000,1.800,0.000
1,0,2,64,0,0.000,1.800,0.000
1,0,2,67,0,0.000,1.800,0.000
1,0,2,81,0,0.000,4.800,0.000
1,0,3,3,0,0.000,0.600,0.000
4,0,3,3,0,0.000,1.800,0.000
1,1,3,3,1,-0.486,0.714,0.000
1,1,3,3,6,-0.081,-0.125,0.132
1,1,3,3,7,1.053,1.327,0.000
1,5,3,3,6,0.000,0.188,0.436
1,5,3,3,7,0.000,0.177,-0.412
1,6,3,3,6,0.269,0.437,0.000
1,6,3,3,7,-0.495,0.793,-0.318
1,7,3,3,7,-0.260,1.084,0.193
0,0,3,6,0,0.000,5.500,0.000
2,0,3,6,0,0.000,5.500,0.000
4,0,3,6,0,0.000,3.600,0.000
5,0,3,6,0,0.000,3.600,0.000
0,1,3,6,1,-1.244,5.482,0.365
0,1,3,6,24,-1.166,5.078,-0.545
0,1,3,6,37,-0.677,5.854,0.521
2,2,3,6,24,0.256,4.519,0.258
2,3,3,6,24,1.663,4.073,0.094
0,5,3,6,1,0.526,5.631,0.691
0,5,3,6,2,0.159,6.586,0.216
0,5,3,6,24,-2.285,4.737,0.468
0,7,3,6,0,0.700,6.500,-0.400
0,7,3,6,1,0.682,7.184,-0.935
0,7,3,6,2,-0.168,6.572,-0.151
0,7,3,6,24,1.662,6.152,-0.058
0,7,3,6,37,0.635,5.890,-0.446
2,37,3,6,24,0.000,3.892,-0.094
0,0,3,9,0,0.000,16.000,0.000
1,0,3,9,0,0.000,1.800,0.000
5,0,3,9,0,0.000,12.000,0.000
0,2,3,9,27,0.000,16.000,0.000
0,5,3,9,1,0.687,16.152,0.894
0,5,3,9,27,0.000,16.000,0.000
0,40,3,9,1,-0.704,18.216,0.000
0,40,3,9,27,0.000,16.000,0.178
0,0,3,10,0,0.000,6.000,0.000
2,0,3,10,0,0.000,6.000,0.000
4,0,3,10,0,0.000,6.000,0.000
5,0,3,10,0,0.000,6.000,0.000
0,1,3,10,1,0.831,6.061,0.522
0,1,3,10,6,-1.152,8.588,1.511
0,1,3,10,28,-0.259,5.934,1.326
2,2,3,10,28,0.000,6.561,0.294
0,5,3,10,1,-0.195,6.304,1.722
0,5,3,10,3,-0.705,5.383,0.234
0,5,3,10,28,-0.417,5.981,0.511
0,7,3,10,1,-0.491,6.218,0.000
0,7,3,10,3,0.733,-0.543,-0.163
0,7,3,10,6,1.234,8.372,-0.539
0,7,3,10,28,1.168,4.857,-0.341
0,10,3,10,28,0.000,3.706,1.254
0,0,3,15,0,0.000,1.423,0.000
2,0,3,15,0,0.000,1.423,0.000
4,0,3,15,0,0.000,1.423,0.000
5,0,3,15,0,0.000,1.423,0.000
0,0,3,17,0,0.000,1.423,0.000
5,0,3,17,0,0.000,1.423,0.000
0,0,3,18,0,0.000,0.000,0.000
2,0,3,18,0,0.000,0.000,0.000
0,0,3,20,0,0.000,0.000,-0.300
2,0,3,20,0,0.000,0.000,0.000
4,0,3,20,0,0.000,0.000,-0.300
5,0,3,20,0,0.000,0.000,0.000
0,7,3,20,0,0.000,0.400,0.400
0,7,3,20,5,0.000,0.000,-0.131
0,7,3,20,20,0.000,0.000,0.000
0,20,3,20,5,0.000,0.000,0.085
0,20,3,20,20,0.000,0.000,0.000
0,0,3,22,0,0.000,0.000,0.000
2,0,3,22,0,0.000,0.000,0.000
4,0,3,22,0,0.000,0.000,0.000
5,0,3,22,0,0.000,0.000,0.000
0,7,3,22,0,0.000,0.400,0.400
0,0,3,25,0,0.000,0.000,0.000
2,0,3,25,0,0.000,0.000,0.000
1,0,3,30,0,0.000,1.800,0.000
4,0,3,30,0,0.000,1.800,0.000
1,0,3,37,0,0.000,2.500,0.000
4,0,3,37,0,0.000,1.800,0.000
1,1,3,37,37,0.000,2.428,0.000
1,6,3,37,37,0.000,1.743,0.000
1,7,3,37,37,0.000,2.256,0.000
1,43,3,37,37,-0.241,3.385,-0.838
1,0,3,39,0,0.000,5.500,0.000
0,0,3,40,0,0.000,3.900,0.000
2,0,3,40,0,0.000,3.600,0.000
5,0,3,40,0,0.000,3.600,0.000
0,5,3,40,28,-1.355,3.964,0.800
0,9,3,40,28,1.045,3.785,-0.291
0,40,3,40,28,0.508,2.985,0.809
0,0,3,41,0,0.000,1.800,0.000
2,0,3,41,0,0.000,1.800,0.000
0,0,3,43,0,0.000,4.500,0.000
2,0,3,43,0,0.000,3.600,0.000
4,0,3,43,0,0.000,3.600,0.000
5,0,3,43,0,0.000,3.600,0.000
0,1,3,43,18,1.712,3.309,0.233
0,1,3,43,28,-0.414,4.168,-0.875
0,7,3,43,18,-0.880,5.091,-0.129
0,7,3,43,28,0.536,5.276,-0.556
2,37,3,43,18,-0.701,4.871,1.225
2,37,3,43,28,-0.086,5.073,0.878
0,0,3,45,0,0.000,1.800,0.000
2,0,3,45,0,0.000,1.800,0.000
0,0,3,48,0,0.000,0.000,0.892
0,0,3,51,0,0.000,13.500,0.000
0,1,3,51,52,0.000,13.549,0.000
0,0,3,54,0,0.000,8.000,0.000
1,0,3,54,0,0.000,2.500,0.000
5,0,3,54,0,0.000,12.000,0.000
0,5,3,54,1,0.000,8.000,0.000
0,5,3,54,36,0.000,8.000,0.000
0,0,3,55,0,0.000,4.800,0.000
2,0,3,55,0,0.000,4.800,0.000
0,0,3,56,0,0.000,4.800,0.000
2,0,3,56,0,0.000,4.800,0.000
1,0,3,57,0,0.000,2.500,0.000
1,0,3,58,0,0.000,4.800,0.000
0,0,3,62,0,0.000,3.600,0.000
2,0,3,62,0,0.000,3.600,0.000
5,0,3,62,0,0.000,3.600,0.000
1,0,3,63,0,0.000,2.500,0.000
1,0,3,64,0,0.000,2.500,0.000
0,0,3,67,0,0.000,12.000,0.000
0,0,3,74,0,0.000,19.000,0.000
0,1,3,74,7,0.000,19.349,0.000
0,0,3,75,0,0.000,19.000,0.000
0,1,3,75,71,0.000,18.751,0.000
1,0,3,78,0,0.000,2.500,0.000
1,0,3,80,0,0.000,2.500,0.000
0,0,6,6,0,0.000,-2.000,0.000
5,0,6,6,0,0.000,-2.000,0.000
0,0,6,8,0,0.900,-1.100,-0.500
5,0,6,8,0,0.000,0.000,0.274
0,21,6,8,1,0.261,-0.330,-0.542
0,21,6,8,23,1.503,-1.853,-0.476
0,0,6,9,0,0.000,3.600,0.000
5,0,6,9,0,0.000,3.600,0.000
0,0,6,10,0,1.200,0.500,-1.000
0,21,6,10,1,0.829,0.000,-0.730
0,21,6,10,3,0.675,-0.185,-1.053
0,0,6,15,0,0.000,-4.000,0.000
0,0,6,17,0,0.000,1.423,0.000
5,0,6,17,0,0.000,1.423,0.000
0,0,6,18,0,0.000,0.000,0.100
5,0,6,18,0,0.000,0.000,0.103
0,33,6,18,1,-0.520,-0.471,-0.267
0,33,6,18,6,-1.623,0.204,0.438
0,33,6,18,32,1.616,0.425,0.191
0,0,6,19,0,0.000,0.000,0.150
5,0,6,19,0,0.000,0.000,0.165
0,21,6,19,1,-0.620,-0.329,0.303
0,21,6,19,5,0.683,0.220,0.000
0,0,6,20,0,0.000,0.000,0.400
4,0,6,20,0,0.000,0.000,0.217
5,0,6,20,0,0.000,0.000,0.217
0,20,6,20,5,0.000,0.000,-0.079
4,20,6,20,20,0.000,0.000,0.000
0,0,6,22,0,0.000,0.000,0.217
0,0,6,25,0,0.000,0.000,0.650
5,0,6,25,0,0.000,0.000,0.231
0,1,6,25,1,-1.704,-0.452,0.556
0,1,6,25,6,0.000,0.000,0.777
0,1,6,25,32,1.205,0.914,0.612
0,24,6,25,6,-3.209,-7.622,1.065
0,24,6,25,32,-5.891,-3.332,0.290
0,0,6,26,0,0.000,0.000,0.346
0,0,6,30,0,0.000,3.600,0.000
2,0,6,30,0,0.000,3.600,0.000
0,0,6,37,0,0.000,3.200,0.000
5,0,6,37,0,0.000,3.600,0.000
0,1,6,37,37,0.000,4.382,0.000
0,3,6,37,37,0.000,2.576,0.000
0,29,6,37,37,0.000,2.801,0.000
0,0,6,39,0,0.000,0.000,0.000
0,0,6,40,0,0.000,0.000,0.274
0,0,6,41,0,0.000,3.600,0.000
0,0,6,43,0,0.000,0.000,0.274
0,0,6,45,0,0.000,6.000,0.000
0,1,6,45,32,0.000,6.208,0.000
0,0,6,54,0,0.000,3.600,0.000
0,0,6,55,0,0.000,3.600,0.000
0,0,6,57,0,0.000,3.600,0.000
0,0,6,58,0,0.000,3.600,0.000
0,0,6,63,0,0.000,3.600,0.000
0,0,6,64,0,0.000,3.600,0.000
0,0,8,8,0,0.000,0.000,0.375
5,0,8,8,0,0.000,0.000,0.375
0,0,8,9,0,0.000,3.600,0.000
5,0,8,9,0,0.000,3.600,0.000
0,0,8,10,0,0.000,0.000,0.000
4,0,8,10,0,0.000,0.000,0.000
0,0,8,15,0,0.000,0.000,0.424
0,0,8,17,0,0.000,1.423,0.000
4,0,8,17,0,0.000,1.423,0.000
5,0,8,17,0,0.000,1.423,0.000
0,0,8,19,0,0.000,0.000,0.225
0,0,8,20,0,0.000,0.000,0.350
4,0,8,20,0,0.000,0.000,0.300
5,0,8,20,0,0.000,0.000,0.297
0,20,8,20,5,0.000,0.120,0.472
4,20,8,20,20,0.000,-0.097,0.200
0,23,8,20,5,-0.101,-0.324,0.371
0,23,8,20,20,0.107,0.253,0.151
0,0,8,22,0,0.000,0.000,0.297
0,0,8,25,0,0.000,0.000,0.316
5,0,8,25,0,0.000,0.000,0.316
0,0,8,26,0,0.000,0.000,0.474
5,0,8,26,0,0.000,0.000,0.474
0,0,8,34,0,0.000,0.000,0.250
0,0,8,39,0,0.000,0.000,0.000
0,0,8,40,0,0.000,0.000,0.375
0,0,8,43,0,0.000,0.000,0.375
0,0,8,45,0,0.000,3.600,0.000
0,0,8,46,0,0.000,3.600,0.000
0,0,8,55,0,0.000,3.600,0.000
0,0,8,56,0,0.000,3.600,0.000
0,0,9,9,0,0.000,12.000,0.000
1,0,9,9,0,0.000,1.800,0.000
5,0,9,9,0,0.000,12.000,0.000
0,0,9,10,0,0.000,6.000,0.000
5,0,9,10,0,0.000,6.000,0.000
0,0,9,15,0,0.000,1.423,0.000
0,0,9,18,0,0.000,0.000,0.000
0,0,9,19,0,0.000,0.000,0.000
0,0,9,20,0,0.000,0.000,0.000
0,0,9,25,0,0.000,0.000,0.000
0,0,9,34,0,0.000,0.000,0.000
5,0,9,34,0,0.000,0.000,0.000
1,0,9,37,0,0.000,1.800,0.000
1,0,9,39,0,0.000,6.000,0.000
0,0,9,40,0,0.000,3.600,0.000
0,0,9,41,0,0.000,4.800,0.000
0,0,9,45,0,0.000,1.800,0.000
0,0,9,54,0,0.000,12.000,0.000
0,0,9,55,0,0.000,4.800,0.000
0,0,9,56,0,0.000,4.800,0.000
1,0,9,57,0,0.000,1.800,0.000
0,0,9,62,0,0.000,3.600,0.000
1,0,9,63,0,0.000,1.800,0.000
1,0,9,64,0,0.000,1.800,0.000
0,0,9,67,0,0.000,12.000,0.000
1,0,9,78,0,0.000,1.800,0.000
1,0,9,81,0,0.000,4.800,0.000
0,0,10,10,0,0.000,0.000,0.000
5,0,10,10,0,0.000,0.000,0.000
0,0,10,15,0,0.000,0.000,0.000
0,0,10,17,0,0.000,4.743,0.000
0,0,10,20,0,0.000,0.000,0.000
4,0,10,20,0,0.000,0.000,0.000
5,0,10,20,0,0.000,0.000,0.000
0,0,10,22,0,0.000,0.000,0.000
0,0,10,25,0,0.000,0.000,0.000
0,0,10,26,0,0.000,0.000,0.000
5,0,10,26,0,0.000,0.000,0.000
0,0,10,34,0,0.000,0.000,0.000
0,0,10,37,0,0.000,6.000,0.000
0,0,10,39,0,0.000,0.000,0.000
0,0,10,40,0,0.000,0.000,0.000
5,0,10,40,0,0.000,0.000,0.000
0,0,10,41,0,0.000,6.000,0.000
0,0,10,45,0,0.000,6.000,0.000
0,0,10,63,0,0.000,6.000,0.000
0,0,10,64,0,0.000,6.000,0.000
0,0,15,15,0,-1.400,-8.300,1.000
5,0,15,15,0,0.000,-8.000,0.000
0,1,15,15,1,-1.663,-8.408,1.433
