493
int,int,int,float,float
0,12,37,3.378,1.721
0,12,40,3.737,1.731
0,12,57,3.714,1.694
0,12,63,3.413,1.718
0,12,64,3.649,1.699
0,13,20,2.767,1.920
0,13,22,2.928,1.902
0,13,37,3.031,1.891
0,13,64,3.031,1.891
0,14,20,0.884,2.332
0,14,37,1.781,2.075
0,15,15,2.531,2.050
0,15,18,2.214,2.094
0,15,19,2.022,2.146
0,15,20,2.757,1.822
0,15,22,3.802,1.727
0,15,25,2.319,2.112
0,15,26,2.359,2.106
0,15,30,3.750,1.731
0,15,37,3.565,1.765
0,15,40,3.859,1.666
0,15,43,3.221,1.717
0,15,57,3.993,1.713
0,15,63,3.724,1.733
0,15,64,3.548,1.747
0,15,71,4.014,1.341
0,17,20,2.397,1.865
0,17,22,2.566,1.844
0,17,37,3.098,1.787
0,17,43,4.900,1.601
0,18,20,3.172,1.780
0,18,22,2.757,1.822
0,18,32,10.748,1.450
0,18,37,3.281,1.770
0,18,39,3.504,1.693
0,18,43,3.301,1.710
0,18,48,6.186,1.540
0,18,55,4.432,1.628
0,18,58,2.568,1.783
0,18,62,5.510,1.570
0,18,63,3.524,1.749
0,18,64,3.856,1.723
0,18,80,4.150,1.702
0,19,20,2.288,1.900
0,19,37,3.072,1.809
0,19,40,4.470,1.686
0,19,63,3.219,1.795
0,19,75,1.600,2.226
0,20,20,3.663,1.526
0,20,22,4.251,1.484
0,20,25,2.718,1.838
0,20,26,2.588,1.853
0,20,30,3.977,1.507
0,20,34,4.171,1.460
0,20,37,3.740,1.516
0,20,40,4.784,1.427
0,20,41,4.286,1.482
0,20,43,3.737,1.487
0,20,45,3.844,1.480
0,22,22,3.969,1.499
0,22,30,3.785,1.513
0,22,34,4.103,1.464
0,22,37,4.481,1.471
0,22,40,4.188,1.459
0,22,41,5.071,1.441
0,22,43,4.070,1.466
0,22,45,4.311,1.452
0,23,39,7.112,1.012
0,23,62,6.339,1.026
0,23,67,6.610,1.019
0,23,68,5.899,1.038
0,25,25,1.514,2.253
0,25,32,8.296,1.510
0,25,37,3.586,1.755
0,25,39,4.370,1.676
0,25,40,4.629,1.660
0,25,43,3.237,1.762
0,25,57,4.356,1.699
0,25,63,3.711,1.745
0,25,71,3.001,1.411
0,25,72,3.744,1.950
0,26,26,1.414,2.279
0,26,34,3.395,1.748
0,26,37,3.207,1.788
0,26,40,4.870,1.646
0,26,71,2.959,1.415
0,28,40,6.576,1.018
0,28,43,6.265,1.028
0,28,48,6.413,1.024
0,30,30,9.579,1.343
1,30,30,5.355,1.428
0,30,40,8.447,1.298
1,30,67,5.274,1.404
0,31,70,7.880,0.969
0,32,41,9.756,1.261
0,32,45,9.420,1.233
0,32,67,7.926,1.269
0,32,68,4.398,1.348
0,32,69,6.098,1.261
0,32,73,8.427,1.510
0,32,77,10.648,1.450
0,32,82,8.594,1.252
0,34,36,6.163,1.028
0,34,37,4.347,1.450
0,34,43,4.401,1.351
0,35,37,9.767,1.262
0,35,63,12.760,1.207
0,36,54,6.529,1.022
0,36,55,6.744,1.014
0,36,56,6.490,1.017
0,36,58,6.610,1.019
0,36,81,6.980,1.016
0,37,37,5.573,1.374
1,37,37,5.178,1.436
0,37,38,5.737,1.333
0,37,39,5.978,1.375
1,37,39,5.650,1.388
0,37,40,6.168,1.398
0,37,41,4.537,1.468
0,37,43,4.764,1.428
0,37,45,4.705,1.431
0,37,46,6.191,1.367
0,37,55,6.615,1.352
0,37,56,5.055,1.414
1,37,57,5.092,1.440
0,37,58,7.432,1.326
1,37,58,5.055,1.414
0,37,61,5.724,1.385
0,37,62,7.137,1.335
0,37,63,6.095,1.372
1,37,63,5.178,1.436
0,37,64,6.161,1.379
1,37,64,5.265,1.432
1,37,67,4.725,1.430
0,37,69,5.396,1.352
0,37,78,6.719,1.375
0,37,81,3.987,1.471
1,37,81,4.531,1.440
0,38,38,5.002,1.246
0,38,63,7.299,1.330
0,38,64,6.978,1.340
0,38,69,5.036,1.321
0,38,78,6.218,1.366
0,39,40,4.101,1.367
0,39,45,3.524,1.402
0,39,63,6.301,1.364
1,39,63,6.137,1.369
0,39,64,6.357,1.361
1,39,64,5.482,1.395
0,39,65,5.513,1.339
0,39,78,6.137,1.369
0,40,40,4.248,1.359
0,40,45,4.305,1.356
0,40,46,4.727,1.335
0,40,54,6.817,1.256
0,40,63,6.733,1.348
0,40,64,6.644,1.351
0,40,78,5.900,1.378
0,41,41,5.029,1.443
0,41,55,5.577,1.391
0,41,62,7.137,1.335
0,41,72,4.519,1.678
0,41,80,5.222,1.434
0,42,61,16.223,1.087
0,43,43,4.211,1.361
0,43,45,3.710,1.390
0,43,64,5.389,1.399
0,44,63,3.589,1.717
0,44,65,3.374,1.684
0,44,78,3.711,1.734
0,44,80,3.910,1.719
0,45,63,5.119,1.411
0,45,64,5.076,1.413
0,45,78,5.724,1.385
0,47,53,12.192,1.140
0,49,50,6.812,0.991
0,51,52,7.100,0.987
0,55,57,7.227,1.319
0,55,62,3.977,1.374
0,55,64,5.529,1.393
0,55,80,7.500,1.324
0,56,57,4.137,1.383
0,56,63,5.900,1.378
0,56,80,6.470,1.357
1,57,63,5.400,1.426
1,57,64,5.135,1.438
0,58,63,6.794,1.346
0,58,64,6.164,1.368
0,59,63,5.787,1.360
0,59,65,4.756,1.388
0,59,78,6.127,1.364
0,59,80,7.064,1.332
0,59,82,3.855,1.431
0,60,61,15.749,1.170
0,62,63,6.947,1.341
0,62,64,6.273,1.364
1,63,63,5.729,1.412
0,63,64,7.118,1.377
0,63,66,8.326,1.313
0,63,72,4.503,1.679
0,63,78,7.434,1.352
0,63,81,7.778,1.316
0,64,64,4.313,1.418
1,64,64,4.926,1.448
0,64,65,8.258,1.335
0,64,66,4.456,1.369
0,64,78,5.492,1.422
0,64,81,5.824,1.381
0,64,82,6.794,1.346
0,65,66,7.243,1.323
0,65,78,8.447,1.298
0,65,81,5.223,1.313
0,65,82,5.622,1.297
0,66,66,3.874,1.368
0,66,78,6.385,1.360
0,66,81,3.960,1.375
0,67,67,6.085,1.280
0,71,75,2.852,1.423
0,72,73,2.628,2.035
0,76,76,4.286,1.357
0,76,78,6.824,1.345
0,78,78,5.573,1.374
0,78,79,8.890,1.287
0,78,81,5.046,1.381
0,79,79,6.408,1.269
0,79,81,4.305,1.356
0,80,81,8.237,1.335
